Unnamed: 0,Запрос,Уточнение запроса,Тип ДБО,Вопрос,Ссылка на видео,Ссылка на вопрос в FAQ,Где используется на сайте,Шаг 1,Шаг 2,Шаг 3,Шаг 4,Шаг 5,Шаг 6,Шаг 7,Шаг 8,Шаг 9,Шаг 10,Шаг 11,Шаг 12,Шаг 13,Шаг 14
2.0,Карты,Активация,ИБ,Как активировать карту,,,"https://www.open.ru/credit_cards/faq#1056
 
 https://www.open.ru/faq#1093",На вкладке «Мои продукты» в разделе «Карты» выберите неактивированную карту и нажмите «Активировать»,Введите предпоследние 4 цифры номера карты — с 9-й по 12-ю,"Придумайте и повторно введите PIN-код. Он не должен состоять из четырёх одинаковых цифр, четырёх последовательных цифр или совпадать с годом рождения клиента.",Нажмите «Активировать»,Введите SMS-код для подтверждения операции,Ваша карта активирована,,,,,,,,
4.0,Карты,Баланс,ИБ,Как узнать баланс карты,https://www.youtube.com/watch?v=M-C95qRN15Y&feature=youtu.be,,"https://www.open.ru/faq#1096
 
 https://www.open.ru/credit_cards/faq#1057","На вкладке «Мои продукты» в разделе «Карты» выберите нужную карту. 
 Баланс отображается напротив названия карты",,,,,,,,,,,,,
7.0,Карты,История операций,ИБ,Как посмотреть историю операций по карте,,,,Перейдите в раздел «История операций». На экране отобразится история операций по картам,Выберите нужную карту,"Выберите период, тип операций и категории",Ниже появятся операции по карте по выбранным вами параметрам,,,,,,,,,,
9.0,Карты,Справки и выписки,ИБ,Как получить выписку по карте с синей печатью банка и факсимиле,https://www.youtube.com/watch?v=M-C95qRN15Y&feature=youtu.be,,,Перейдите в раздел «История операций». На экране отобразится история операций по картам,Выберите нужную карту,"Выберите период, тип (»Все», «Пополнения» или «Расходы») и категории операций",Выберите формат выписки в поле «Получить выписку»: PDF или Excel,"Выписку в формате PDF вы можете скачать или отправить по e-mail, а в формате Excel скачать себе на устройство",,,,,,,,,
11.0,Карты,Реквизиты,ИБ,Как посмотреть реквизиты счета карты,,,,"На вкладке «Мои продукты» найдите нужную карту и нажмите «Реквизиты». 
 
 Примечание: Если карта не активирована, реквизиты посмотреть нельзя",Перейдите в раздел «Счет»,"В открывшемся окне отобразятся реквизиты счета. Можно скопировать отдельные строки реквизитов, нажав на значок документов справа от них. Для копирования всех реквизитов нажмите «Скопировать все»",Реквизиты можно отправить на e-mail. Для этого введите адрес электронной почты в поле внизу окна и нажмите «Отправить»,ОЙ,,,,,,,,,
13.0,Карты,Реквизиты,ИБ,Как отправить реквизиты счета карты на e-mail,,,,На вкладке «Мои продукты» в разделе «Карты» выберите нужную карту и нажмите «Реквизиты»,Перейдите в раздел «Счет»,В открывшемся окне отобразятся реквизиты счета. Введите адрес электронной почты в поле внизу окна и нажмите «Отправить»,Реквизиты счета отправлены,,,,,,,,,,
16.0,Карты,Блокировка,ИБ,Как заблокировать карту,,,"https://www.open.ru/faq#297
 
 https://www.open.ru/credit_cards/faq#1067",На вкладке «Мои продукты» в разделе «Карты» выберите нужную карту и нажмите «Заблокировать»,"Подтвердите блокировку карты, нажмите «Заблокировать»",Карта заблокирована,,,,,,,,,,,
18.0,Карты,Разблокировка,ИБ,Как разблокировать карту,,,,"На вкладке «Мои продукты» в разделе «Карты» выберите заблокированную карту и нажмите «разблокировать». 
 
 Примечание: Клиент может разблокировать только ту карту, которую он до этого сам заблокировал в интернет-банке. Снятие другие блокировки самостоятельно невозможно.","Подтвердите разблокировку карты. Нажмите «Разблокировать», на ваш номер телефона придет SMS с кодом.",Введите SMS-код для разблокировки.,Карта разблокирована.,,,,,,,,,,
20.0,Карты,Перевыпуск,ИБ,Как перевыпустить карту,,,"https://www.open.ru/faq#293
 
 https://www.open.ru/faq#347
 
 https://www.open.ru/credit_cards/faq#1065
 
 https://www.open.ru/credit_cards/faq#1066","На вкладке «Мои продукты» в разделе «Карты» выберите карту, которую хотите перевыпустить, нажмите «Еще».",В открывшемся меню нажмите «Перевыпустить карту».,Выберите город на карте или введите в окне поиска.,"Выберите офис, где вам будет удобно получить новую карту","Во всплывающем окне появится информация о выбранном офисе, его адресе и режиме работы. Нажмите «Выбрать»","Проверьте написание имени и фамилии на карте и, если нужно, внесите изменения. Нажмите «Далее».","Проверьте данные карты и адрес офиса получения. Если все верно, нажмите «Подтвердить заявку»","Заявка на перевыпуск карты принята. Когда карта будет готова, вам придет SMS. Нажмите «Готово»",,,,,,
22.0,Карты,Смена PIN-кода,ИБ,Как сменить PIN-код,,,"https://www.open.ru/faq#1094
 
 https://www.open.ru/credit_cards/faq#1068",На вкладке «Мои продукты» в разделе «Карты» выберите карту и нажмите «Еще».,В открывшемся окне нажмите «Сменить PIN».,"Придумайте новый PIN-код и подтвердите его, нажмите «Изменить».",Введите SMS-код для подтверждения,PIN-код изменен,,,,,,,,,
24.0,Карты,SMS-уведомления,ИБ,Как подключить SMS-уведомления,,,"https://www.open.ru/faq#288
 
 https://www.open.ru/credit_cards/faq#1063
 
 https://www.open.ru/sms-info#821",Перейдите в настройки — нажмите на имя со значком шестеренки в верхнем правом углу,Выберите раздел «SMS-инфо».,Выберите нужную карту и нажмите «Подключить».,Введите номер телефона для получения SMS-уведомлений,Введите SMS-код для подтверждения,Услуга «SMS-инфо» подключена,,,,,,,,
26.0,Карты,SMS-уведомления,ИБ,Как отключить SMS-уведомления,,,,Перейдите в настройки — нажмите на имя со значком шестеренки в верхнем правом углу,Выберите раздел «SMS-инфо»,Выберите нужную карту и нажмите «Отключить / изменить номер»,В открывшемся окне нажмите «Отключить»,Введите SMS-код для подтверждения,Услуга «SMS-инфо» отключена,,,,,,,,
28.0,Карты,SMS-уведомления,ИБ,Как поменять номер для SMS-уведомлений,,,"https://www.open.ru/faq#289
 
 https://www.open.ru/credit_cards/faq#1064
 
 https://www.open.ru/sms-info#826",Перейдите в настройки — нажмите на имя со значком шестеренки в верхнем правом углу,Выберите раздел «SMS-инфо»,Выберите нужную карту и нажмите «Отключить / изменить номер»,В открывшемся окне нажмите «Изменить» рядом с номером телефона,Введите номер телефона для получения SMS-уведомлений,Введите SMS-код для подтверждения,Вы изменили номер. Обратите внимание! Изменения будут действовать только для услуги SMS-уведомлений и для подтверждения покупок в интернете. Для полной смены номера нужно обратиться в офис или в Контактный центр по телефону 8-800-444-44-00,,,,,,,
30.0,Карты,Тарифы,ИБ,Как посмотреть информацию о тарифе по карте,https://www.youtube.com/watch?v=M-C95qRN15Y&feature=youtu.be,,,На вкладке «Мои продукты» в разделе «Карты» выберите нужную карту. Ссылка на тариф отображается под названием карты,"Чтобы узнать о тарифе подробнее, нажмите на синюю иконку со стрелкой. Страница с информацией о тарифе откроется в новой вкладке браузера",,,,,,,,,,,,
32.0,Программа лояльности,Баланс,ИБ,Как узнать баланс бонусных рублей,,https://www.open.ru/faq#1585,https://www.open.ru/faq#1585,На вкладке «Мои продукты» в разделе «Карты» выберите нужную карту и нажмите «Показать операции и детали»,Ниже отобразится баланс бонусных рублей,,,,,,,,,,,,
